UDI,CITY
1,Santiago
2,Dakar
3,Dhaka
4,Los Angeles
5,Baghdad
6,Singapore
7,Mumbai
8,Hong Kong
9,Istanbul
10,Cape Town
11,Beijing
12,Karachi
13,São Paulo
14,Kabul
15,Bogota
16,Hanoi
17,Mumbai
18,Bangkok
19,Riyadh
20,London
21,Osaka-shi
22,Delhi
23,Manila
24,Seoul
25,Beijing
26,Taipei City
27,Cairo
28,Dhaka
29,Hanoi
30,Madrid
31,Buenos Aires
32,Singapore
33,Mumbai
34,London
35,Cape Town
36,Riyadh
37,Amsterdam
38,Taipei City
39,Belgrade
40,São Paulo
41,Kinshasa
42,Honolulu
43,London
44,Moscow
45,Jerusalem
46,Honolulu
47,Osaka-shi
48,New York
49,Santiago
50,Havana
52,Riyadh
53,Taipei City
54,Athens
55,Dakar
56,Mumbai
57,Singapore
58,Reykjavik
59,Tokyo
60,Stockholm
61,São Paulo
62,Berlin
63,Beijing
64,Paris
65,Toronto
66,Reykjavik
67,Hanoi
68,New York
69,Manila
71,London
72,Madrid
73,Manila
74,São Paulo
75,Karachi
76,Dhaka
77,Mumbai
79,Singapore
80,São Paulo
81,Riyadh
82,Jerusalem
83,Karachi
84,New York
85,Seoul
86,Cape Town
87,Amsterdam
88,Mumbai
89,Istanbul
90,Baghdad
91,Moscow
92,Baghdad
93,Tokyo
94,Osaka-shi
95,Honolulu
96,Manila
97,Belgrade
98,Stockholm
99,Bogota
100,Bangkok
101,Madrid
102,Istanbul
103,Moscow
104,Reykjavik
105,Cape Town
106,New York
107,Baghdad
108,Manila
109,Delhi
110,Kinshasa
111,Paris
112,Seoul
113,Sydney
114,Karachi
115,Moscow
116,Singapore
117,Kolkata
118,Shanghai
119,Stockholm
120,Shanghai
121,Shanghai
122,Sydney
123,Kabul
124,Bangkok
125,Mexico City
126,Madrid
127,Riyadh
128,Cairo
129,Madrid
130,Amsterdam
131,Santiago
132,Jerusalem
133,Amsterdam
134,Athens
135,Cairo
136,Mumbai
137,Kolkata
138,Dakar
139,Kabul
140,Los Angeles
141,Istanbul
142,Cairo
143,Mexico City
144,Honolulu
145,Shanghai
146,Belgrade
147,Belgrade
148,Moscow
149,Jakarta
150,Hanoi
151,Tokyo
152,Baghdad
153,Jakarta
154,Lima
155,Bengaluru
156,Kabul
157,São Paulo
158,Kinshasa
159,Sydney
160,Athens
163,Baghdad
164,Tokyo
165,Kinshasa
166,Stockholm
167,Istanbul
168,Amsterdam
170,Dhaka
171,Stockholm
172,Delhi
173,Paris
174,Buenos Aires
175,Karachi
176,Shanghai
177,São Paulo
178,Cape Town
179,London
180,Manila
181,Buenos Aires
182,Riyadh
183,Kabul
184,Stockholm
185,Shanghai
186,Santiago
187,Hong Kong
188,Baghdad
189,Jerusalem
190,Osaka-shi
191,Amsterdam
192,Reykjavik
193,Reykjavik
194,Beijing
196,São Paulo
197,Toronto
198,Beijing
199,Lima
200,Hanoi
201,Kinshasa
202,Kolkata
203,Moscow
204,Kabul
205,Cape Town
206,Bengaluru
207,Mexico City
209,New York
210,Mexico City
211,Beijing
212,Manila
213,Karachi
214,Bogota
215,Singapore
216,Reykjavik
217,Madrid
218,Jakarta
219,Jakarta
220,Taipei City
221,Madrid
222,Kinshasa
223,Los Angeles
224,Osaka-shi
225,Hanoi
226,Beijing
227,Mexico City
228,Buenos Aires
229,Shanghai
230,Dakar
231,Hanoi
232,Manila
233,Beijing
234,Tehran
235,New York
236,Karachi
237,Delhi
238,Tehran
239,Mumbai
240,Cape Town
241,Moscow
242,Osaka-shi
244,Hong Kong
245,Kolkata
246,Bogota
247,Sydney
248,Lima
251,Tehran
252,Paris
253,Kolkata
254,Lima
255,Tehran
256,Bogota
257,Riyadh
258,Jerusalem
259,Athens
261,Tokyo
262,Osaka-shi
263,Athens
264,Buenos Aires
265,Beijing
266,Kinshasa
267,London
268,New York
269,Athens
270,Istanbul
271,Istanbul
272,Cape Town
273,Athens
274,Bogota
275,Athens
276,Sydney
277,Bengaluru
278,Mumbai
279,Tokyo
280,Singapore
281,Paris
