CITY_NAME,HUMIDITY_RELATIVE_AVG
Toronto,65
London,93
Amsterdam,93
Berlin,90
Dakar,73
Havana,56
Cairo,57
Mumbai,66
Bengaluru,67
Delhi,81
Jerusalem,87
Madrid,72
Manila,66
Bogota,76
Mexico City,58
Karachi,61
Baghdad,65
Seoul,50
Taipei City,82
Cape Town,79
Shanghai,73
Dhaka,75
Kolkata,74
Bangkok,70
Jakarta,86
Riyadh,71
Singapore,78
Los Angeles,63
Sydney,78
Kabul,57
Reykjavik,80
São Paulo,86
Kinshasa,85
Stockholm,67
Hanoi,83
Honolulu,80
Hong Kong,80
Osaka-shi,70
Paris,97
Athens,68
Belgrade,88
Moscow,81
New York,27
Beijing,44
Buenos Aires,54
Santiago,64
Lima,85
Tehran,83
Tokyo,63
Istanbul,68
