UDI,PRODUCT_ID,TYPE,AIR_TEMPERATURE_K,PROCESS_TEMPERATURE,ROTATIONAL_SPEED_RPM,TORQUE_NM,TOOL_WEAR_MIN,MACHINE_FAILURE,TWF,HDF,PWF,OSF,RNF
1,M14860,M,298,309,1551,43,0,0,0,0,0,0,0
2,L47181,L,298,309,1408,46,3,0,0,0,0,0,0
3,L47182,L,298,309,1498,49,5,0,0,0,0,0,0
4,L47183,L,298,309,1433,40,7,0,0,0,0,0,0
5,L47184,L,298,309,1408,40,9,0,0,0,0,0,0
6,M14865,M,298,309,1425,42,11,0,0,0,0,0,0
7,L47186,L,298,309,1558,42,14,0,0,0,0,0,0
8,L47187,L,298,309,1527,40,16,0,0,0,0,0,0
9,M14868,M,298,309,1667,29,18,0,0,0,0,0,0
10,M14869,M,299,309,1741,28,21,0,0,0,0,0,0
11,H29424,H,298,309,1782,24,24,0,0,0,0,0,0
12,H29425,H,299,309,1423,44,29,0,0,0,0,0,0
13,M14872,M,299,309,1339,51,34,0,0,0,0,0,0
14,M14873,M,299,309,1742,30,37,0,0,0,0,0,0
15,L47194,L,299,309,2035,20,40,0,0,0,0,0,0
16,L47195,L,299,309,1542,48,42,0,0,0,0,0,0
17,M14876,M,299,309,1311,47,44,0,0,0,0,0,0
18,M14877,M,299,309,1410,46,47,0,0,0,0,0,0
19,H29432,H,299,309,1306,55,50,0,0,0,0,0,0
20,M14879,M,299,309,1632,33,55,0,0,0,0,0,0
21,H29434,H,299,309,1375,43,58,0,0,0,0,0,0
22,L47201,L,299,309,1450,45,63,0,0,0,0,0,0
23,M14882,M,299,309,1581,31,65,0,0,0,0,0,0
24,L47203,L,299,309,1758,26,68,0,0,0,0,0,0
25,M14884,M,299,309,1561,37,70,0,0,0,0,0,0
26,L47205,L,299,310,1861,23,73,0,0,0,0,0,0
27,L47206,L,299,310,1512,39,75,0,0,0,0,0,0
28,H29441,H,299,309,1811,25,77,0,0,0,0,0,0
29,L47208,L,299,309,1439,44,82,0,0,0,0,0,0
30,L47209,L,299,309,1693,30,84,0,0,0,0,0,0
31,M14890,M,299,310,1339,48,86,0,0,0,0,0,0
32,L47211,L,299,309,1798,26,89,0,0,0,0,0,0
33,L47212,L,299,309,1419,48,91,0,0,0,0,0,0
34,L47213,L,299,309,1665,33,93,0,0,0,0,0,0
35,M14894,M,299,309,1559,35,95,0,0,0,0,0,0
36,M14895,M,299,309,1452,49,98,0,0,0,0,0,0
37,M14896,M,299,309,1581,37,101,0,0,0,0,0,0
38,L47217,L,299,309,1439,39,104,0,0,0,0,0,0
39,H29452,H,299,309,1379,51,106,0,0,0,0,0,0
40,L47219,L,299,309,1350,53,111,0,0,0,0,0,0
41,L47220,L,299,309,1362,45,113,0,0,0,0,0,0
42,L47221,L,299,309,1368,51,115,0,0,0,0,0,0
43,M14902,M,299,309,1368,49,117,0,0,0,0,0,0
44,H29457,H,299,309,1372,49,120,0,0,0,0,0,0
45,M14904,M,299,309,1472,48,125,0,0,0,0,0,0
46,L47225,L,299,309,1489,49,128,0,0,0,0,0,0
47,M14906,M,299,309,1843,26,130,0,0,0,0,0,0
48,L47227,L,299,309,1418,46,133,0,0,0,0,0,0
49,H29462,H,299,309,1425,54,135,0,0,0,0,0,0
50,M14909,M,299,309,1412,44,140,0,0,0,0,0,0
51,L47230,L,299,309,2861,5,143,1,0,0,1,0,0
52,L47231,L,299,309,1383,55,145,0,0,0,0,0,0
53,H29466,H,299,309,1497,44,147,0,0,0,0,0,0
54,L47233,L,299,309,1565,35,152,0,0,0,0,0,0
55,L47234,L,299,309,1691,30,154,0,0,0,0,0,0
56,L47235,L,299,309,1512,41,156,0,0,0,0,0,0
57,L47236,L,299,309,1477,42,158,0,0,0,0,0,0
58,L47237,L,299,309,1513,40,160,0,0,0,0,0,0
59,M14918,M,299,309,1661,30,162,0,0,0,0,0,0
60,L47239,L,299,309,1378,54,165,0,0,0,0,0,0
61,L47240,L,299,309,1393,53,167,0,0,0,0,0,0
62,M14921,M,299,309,1592,38,169,0,0,0,0,0,0
63,L47242,L,299,309,1829,23,172,0,0,0,0,0,0
64,M14923,M,299,309,1812,26,174,0,0,0,0,0,0
65,L47244,L,299,309,1523,39,177,0,0,0,0,0,0
66,L47245,L,299,309,1394,45,179,0,0,0,0,0,0
67,M14926,M,299,309,1679,29,181,0,0,0,0,0,0
68,H29481,H,299,309,1466,44,184,0,0,0,0,0,0
69,L47248,L,299,309,1527,32,189,0,0,0,0,0,0
70,L47249,L,299,309,1410,66,191,1,0,0,1,1,0
71,M14930,M,299,309,1924,23,193,0,0,0,0,0,0
72,L47251,L,299,309,1452,46,196,0,0,0,0,0,0
73,L47252,L,299,309,1369,44,198,0,0,0,0,0,0
74,L47253,L,299,309,1592,35,200,0,0,0,0,0,0
75,L47254,L,299,309,1601,32,202,0,0,0,0,0,0
76,L47255,L,299,309,1379,47,204,0,0,0,0,0,0
77,L47256,L,299,309,1461,48,206,0,0,0,0,0,0
78,L47257,L,299,309,1455,41,208,1,1,0,0,0,0
79,L47258,L,299,309,1398,52,0,0,0,0,0,0,0
80,L47259,L,299,309,1402,38,2,0,0,0,0,0,0
81,H29494,H,299,309,1445,50,4,0,0,0,0,0,0
82,L47261,L,299,309,1450,48,9,0,0,0,0,0,0
83,L47262,L,299,309,1453,41,11,0,0,0,0,0,0
84,L47263,L,299,309,1469,40,13,0,0,0,0,0,0
85,L47264,L,299,309,1422,48,15,0,0,0,0,0,0
86,M14945,M,299,309,1804,27,17,0,0,0,0,0,0
87,H29500,H,299,309,1436,44,20,0,0,0,0,0,0
88,L47267,L,299,309,1544,32,25,0,0,0,0,0,0
89,M14948,M,299,309,1419,45,27,0,0,0,0,0,0
90,M14949,M,299,309,1487,40,30,0,0,0,0,0,0
91,L47270,L,299,309,1753,26,33,0,0,0,0,0,0
92,L47271,L,299,309,1830,25,35,0,0,0,0,0,0
93,M14952,M,299,309,1727,27,37,0,0,0,0,0,0
94,L47273,L,299,309,1450,43,40,0,0,0,0,0,0
95,L47274,L,299,309,1622,32,42,0,0,0,0,0,0
96,M14955,M,299,309,1351,52,44,0,0,0,0,0,0
97,M14956,M,299,309,1575,35,47,0,0,0,0,0,0
98,M14957,M,299,309,1750,30,50,0,0,0,0,0,0
99,L47278,L,299,309,1529,33,53,0,0,0,0,0,0
100,L47279,L,299,309,1523,44,55,0,0,0,0,0,0
101,L47280,L,299,309,1852,25,57,0,0,0,0,0,0
102,L47281,L,299,309,1991,21,59,0,0,0,0,0,0
103,L47282,L,299,309,1555,41,61,0,0,0,0,0,0
104,M14963,M,299,309,1441,41,63,0,0,0,0,0,0
105,L47284,L,299,309,1450,43,66,0,0,0,0,0,0
106,L47285,L,299,309,1591,31,68,0,0,0,0,0,0
107,L47286,L,299,309,1445,49,70,0,0,0,0,0,0
108,M14967,M,299,309,1497,47,72,0,0,0,0,0,0
109,H29522,H,299,309,1621,33,75,0,0,0,0,0,0
110,L47289,L,299,309,1572,34,80,0,0,0,0,0,0
111,L47290,L,299,309,1872,23,82,0,0,0,0,0,0
112,H29525,H,299,309,1499,44,84,0,0,0,0,0,0
113,M14972,M,299,309,1498,40,89,0,0,0,0,0,0
114,M14973,M,299,309,1486,42,92,0,0,0,0,0,0
115,L47294,L,299,309,1680,29,95,0,0,0,0,0,0
116,L47295,L,299,309,1431,46,97,0,0,0,0,0,0
117,L47296,L,299,309,1564,34,99,0,0,0,0,0,0
118,L47297,L,299,309,1599,33,101,0,0,0,0,0,0
119,M14978,M,299,309,1707,28,103,0,0,0,0,0,0
120,L47299,L,299,309,1467,41,106,0,0,0,0,0,0
121,L47300,L,299,309,1433,45,108,0,0,0,0,0,0
122,L47301,L,299,309,1558,41,110,0,0,0,0,0,0
123,L47302,L,299,309,1310,51,112,0,0,0,0,0,0
124,L47303,L,299,309,1546,43,114,0,0,0,0,0,0
125,L47304,L,299,309,1727,29,116,0,0,0,0,0,0
126,L47305,L,299,309,1560,32,118,0,0,0,0,0,0
127,L47306,L,299,309,1329,61,120,0,0,0,0,0,0
128,L47307,L,299,309,1413,47,122,0,0,0,0,0,0
129,L47308,L,299,309,1587,39,124,0,0,0,0,0,0
130,L47309,L,299,309,1559,34,126,0,0,0,0,0,0
131,L47310,L,299,308,1473,41,128,0,0,0,0,0,0
132,L47311,L,299,308,1737,28,130,0,0,0,0,0,0
133,M14992,M,299,308,1441,43,132,0,0,0,0,0,0
134,M14993,M,299,308,1430,50,135,0,0,0,0,0,0
135,L47314,L,299,308,1369,53,138,0,0,0,0,0,0
136,M14995,M,299,309,1711,29,140,0,0,0,0,0,0
137,H29550,H,299,309,1420,46,143,0,0,0,0,0,0
138,L47317,L,299,309,1297,55,148,0,0,0,0,0,0
139,H29552,H,299,309,1449,49,150,0,0,0,0,0,0
140,L47319,L,299,309,1268,56,155,0,0,0,0,0,0
141,L47320,L,299,309,1511,36,157,0,0,0,0,0,0
142,L47321,L,299,309,1544,35,159,0,0,0,0,0,0
143,M15002,M,299,308,1778,28,161,0,0,0,0,0,0
144,H29557,H,299,308,1407,51,164,0,0,0,0,0,0
145,M15004,M,299,308,1391,42,169,0,0,0,0,0,0
